name,price,weekly_appearance
Counter-Strike 2,Free To Play,625
Overwatch® 2,Free To Play,16
ELDEN RING,A$ 89.95,35
Path of Exile,Free To Play,2
The First Descendant,Free To Play,4
Warframe,Free To Play,592
War Thunder,Free To Play,400
Dead by Daylight,A$ 11.58,330
Dota 2,Free To Play,635
ELDEN RING Shadow of the Erdtree,A$ 59.95,11
PUBG: BATTLEGROUNDS,Free To Play,72
Once Human,Free To Play,3
Bundle: South Park™ : The Stick of Truth™ + The Fractured but Whole™,A$ 19.10,1
Magic: The Gathering Arena,Free To Play,3
Call of Duty®,N/A,107
Baldur's Gate 3,A$ 89.95,77
Chained Together,A$ 6.75,6
Call of Duty®: Modern Warfare® III - BlackCell (Season 5),A$ 44.95,1
Destiny 2,Free To Play,38
FINAL FANTASY XIV Online,A$ 28.95,31
Grand Theft Auto V,A$ 23.35,498
Team Fortress 2,Free To Play,4
Total War: WARHAMMER III,A$ 49.97,32
Marvel's Guardians of the Galaxy,A$ 17.99,1
Cataclismo,A$ 31.96,1
Summoners War,Free To Play,1
Call of Duty®: Black Ops 6,Prepurchase,3
Tom Clancy's Rainbow Six® Siege,A$ 29.95,455
Grand Theft Auto V: Premium Edition,A$ 23.35,1
Enshrouded,A$ 34.39,1
Call of Duty®: Warzone™,Free To Play,1
EverQuest II,Free To Play,1
The Sims™ 4,Free To Play,196
MapleStory,Free To Play,4
HELLDIVERS™ 2,A$ 59.95,29
Call of Duty®: Modern Warfare® III,A$ 60.47,21
Total War: PHARAOH,A$ 59.99,1
Fallout 76,A$ 54.95,31
Lost Ark,Free To Play,3
STAR WARS™: The Old Republic™,Free To Play,2
Manor Lords,A$ 44.96,14
South Park™: The Fractured But Whole™,A$ 9.99,1
EA SPORTS FC™ 24,A$ 99.95,52
Rust,A$ 59.95,504
Ready or Not,A$ 73.50,1
Apex Legends™,Free To Play,195
Stormgate,A$ 36.95,1
Palia,Free To Play,1
Cyberpunk 2077,A$ 89.95,60
"Warhammer 40,000: Space Marine 2",Prepurchase,2
Dome Keeper,A$ 10.60,1
Ghost of Tsushima DIRECTOR'S CUT,A$ 94.95,14
South Park™: The Stick of Truth™,A$ 11.23,1
Sea of Thieves: 2024 Edition,A$ 49.95,20
Yu-Gi-Oh! Master Duel,Free To Play,3
Kingdom Rush 5: Alliance TD,A$ 26.55,1
NARAKA: BLADEPOINT,Free To Play,4
The Elder Scrolls® Online,A$ 34.95,46
iRacing,A$ 15.99,3
Dungeons & Dragons Online®,Free To Play,1
HITMAN World of Assassination,A$ 4.39,6
Bloons TD 6,A$ 9.97,4
Total War: WARHAMMER II,A$ 22.49,1
AFL 23,A$ 99.95,1
Assassin's Creed Valhalla,A$ 22.48,1
Halo Infinite,Free To Play,1
Dark and Darker,Free To Play,8
Thronefall,A$ 12.32,1
Street Fighter™ 6,A$ 49.97,2
7 Days to Die,A$ 65.95,1
Hell Let Loose,A$ 44.99,1
EARTH DEFENSE FORCE 6,A$ 79.15,3
THRONE AND LIBERTY: Early Access Pack - Ultimate,A$ 146.97,1
EA Play,A$ 8.95,1
Crusader Kings III,A$ 69.95,5
REMNANT II®,A$ 44.00,1
Black Myth: Wukong,Prepurchase,1
Call of Duty®: Modern Warfare® II,A$ 109.95,1
FINAL FANTASY VII EVER CRISIS,Free To Play,1
Total War: Warhammer III Collection,A$ 129.97,1
BeamNG.drive,A$ 36.50,39
Microsoft Flight Simulator 40th Anniversary Edition,A$ 99.95,5
F1® Manager 2024,A$ 50.95,2
RimWorld,A$ 44.95,20
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,A$ 39.95,1
Cyberpunk 2077: Phantom Liberty,A$ 44.95,1
Into the Radius 2,A$ 49.72,1
Crusader Kings III: Collection,A$ 203.70,1
Snowbreak: Containment Zone,Free To Play,3
Phasmophobia,A$ 19.95,4
F1® 24,A$ 99.95,4
Rust + DLC Bundle,A$ 111.45,1
Hearts of Iron IV,A$ 69.95,5
Overcooked! All You Can Eat,A$ 22.78,1
Supermarket Simulator,A$ 18.95,4
Cyberpunk 2077: Ultimate Edition,A$ 124.10,1
Arma 3,A$ 11.23,1
SnowRunner,A$ 22.47,1
Stardew Valley,A$ 16.99,23
Sons Of The Forest,A$ 43.95,5
